"kereta","start","end"
"http://id.dbpedia.org/resource/Kereta_api_Sancaka","http://id.dbpedia.org/resource/Stasiun_Yogyakarta","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng"
"http://id.dbpedia.org/resource/Kereta_api_Turangga","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Bandung"
"http://id.dbpedia.org/resource/Kereta_api_Penataran","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Blitar"
"http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","http://id.dbpedia.org/resource/Stasiun_Sidoarjo"
"http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","http://id.dbpedia.org/resource/Stasiun_Porong"
"http://id.dbpedia.org/resource/Kereta_api_Arek_Surokerto","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Mojokerto"
"http://id.dbpedia.org/resource/Kereta_api_Argo_Bromo_Anggrek","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasar_Turi","http://id.dbpedia.org/resource/Stasiun_Gambir"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Bojonegoro","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Bojonegoro"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Babat","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Babat"
"http://id.dbpedia.org/resource/Kereta_api_Cepu_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Cepu"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Cepu","http://id.dbpedia.org/resource/Stasiun_Cepu","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi"
"http://id.dbpedia.org/resource/Kereta_api_Majapahit","http://id.dbpedia.org/resource/Stasiun_Malang","http://id.dbpedia.org/resource/Stasiun_Pasar_Senen"
"http://id.dbpedia.org/resource/Kereta_api_Sancaka","http://id.dbpedia.org/resource/Stasiun_Yogyakarta","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng"
"http://id.dbpedia.org/resource/Kereta_api_Turangga","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Bandung"
"http://id.dbpedia.org/resource/Kereta_api_Penataran","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Blitar"
"http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","http://id.dbpedia.org/resource/Stasiun_Sidoarjo"
"http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Kota","http://id.dbpedia.org/resource/Stasiun_Porong"
"http://id.dbpedia.org/resource/Kereta_api_Arek_Surokerto","http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","http://id.dbpedia.org/resource/Stasiun_Mojokerto"
"http://id.dbpedia.org/resource/Kereta_api_Argo_Bromo_Anggrek","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasar_Turi","http://id.dbpedia.org/resource/Stasiun_Gambir"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Bojonegoro","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Bojonegoro"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Babat","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Babat"
"http://id.dbpedia.org/resource/Kereta_api_Cepu_Ekspres","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi","http://id.dbpedia.org/resource/Stasiun_Cepu"
"http://id.dbpedia.org/resource/Kereta_api_Surabaya-Cepu","http://id.dbpedia.org/resource/Stasiun_Cepu","http://id.dbpedia.org/resource/Stasiun_Surabaya_Pasarturi"
"http://id.dbpedia.org/resource/Kereta_api_Majapahit","http://id.dbpedia.org/resource/Stasiun_Malang","http://id.dbpedia.org/resource/Stasiun_Pasar_Senen"
