"stasiun","Nama_Stasiun","Kota_Kabupaten","Nama_Kereta"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Gajayana"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Rapih_Dhoho"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Penataran"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Matarmaja"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Malabar"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Majapahit"
"http://id.dbpedia.org/resource/Stasiun_Blitar","Stasiun Blitar","Blitar","http://id.dbpedia.org/resource/Kereta_api_Malioboro_Ekspres"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Argo_Wilis"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Bima"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Mutiara_Timur"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Sancaka"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Turangga"
"http://id.dbpedia.org/resource/Stasiun_Surabaya_Gubeng","Stasiun Surabaya Gubeng","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Rapih_Dhoho"
